Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content,Morning,Afternoon,Night
Fruits and Nut Kheer,Uttarakhand,Veg,"Nuts, Dairy",400,50,18.0,25,10,250,"Vitamin A, C",No,Yes,Yes
Gahat Ki Dal,Uttarakhand,Veg,None,300,40,12.0,20,5,300,"Vitamin B, Iron",No,Yes,Yes
Kandalee Saag,Uttarakhand,Veg,None,200,25,5.0,8,4,250,"Vitamin A, C",No,Yes,Yes
Singori,Uttarakhand,Veg,Dairy,250,30,12.0,10,8,150,"Vitamin A, B12",No,Yes,Yes
Raita,Uttarakhand,Veg,Dairy,180,20,10.0,5,3,220,"Vitamin A, B12",No,Yes,Yes
Chawal Ki Roti,Uttarakhand,Veg,None,280,45,8.0,6,2,300,"Vitamin B, C",No,Yes,Yes
Phaanu,Uttarakhand,Veg,None,300,40,10.0,15,4,350,"Vitamin B, C",No,Yes,Yes
Kumaoni Bhatt,Uttarakhand,Veg,None,320,45,12.0,10,5,400,"Vitamin B, C",No,Yes,Yes
Kachma,Uttarakhand,Non-Veg,None,350,30,20.0,18,6,500,"Vitamin A, B12",No,Yes,Yes
Kumaoni Saag,Uttarakhand,Veg,None,180,20,5.0,7,4,200,"Vitamin A, C",No,Yes,Yes
Ghar Ka Achaar,Uttarakhand,Veg,None,100,10,4.0,6,2,150,"Vitamin A, C",No,Yes,Yes
Kundru,Uttarakhand,Veg,None,200,25,8.0,6,3,250,"Vitamin A, C",No,Yes,Yes
Pindale,Uttarakhand,Veg,None,220,30,8.0,10,4,300,"Vitamin A, C",No,Yes,Yes
Pahadi Daal,Uttarakhand,Veg,None,250,35,10.0,12,5,350,"Vitamin B, Iron",No,Yes,Yes
Dum Aloo,Uttarakhand,Veg,None,320,45,12.0,15,4,400,"Vitamin A, C",No,Yes,Yes
Kandali Saag,Uttarakhand,Veg,None,190,20,5.0,7,3,220,"Vitamin A, C",No,Yes,Yes
Garhwal Keema,Uttarakhand,Non-Veg,None,400,30,25.0,20,7,600,"Vitamin A, B12",No,Yes,Yes
Jhangora Ki Kheer,Uttarakhand,Veg,Dairy,350,50,15.0,20,5,300,"Vitamin A, B12",No,Yes,Yes
Aloo Tamatar,Uttarakhand,Veg,None,250,30,8.0,10,4,300,"Vitamin A, C",No,Yes,Yes
Chana Madra,Uttarakhand,Veg,None,300,40,10.0,12,5,350,"Vitamin B, C",No,Yes,Yes
Raita Pulao,Uttarakhand,Veg,Dairy,350,50,15.0,20,5,400,"Vitamin A, B12",No,Yes,Yes
Bedu Roti,Uttarakhand,Veg,None,280,45,8.0,8,3,300,"Vitamin B, C",No,Yes,Yes
Kumaoni Baadi,Uttarakhand,Veg,None,250,35,12.0,10,4,350,"Vitamin A, C",No,Yes,Yes
Garhwal Meat Curry,Uttarakhand,Non-Veg,None,400,30,25.0,18,6,600,"Vitamin A, B12",No,Yes,Yes
Ragi Porridge,Uttarakhand,Veg,None,200,30,6.0,5,2,250,"Vitamin B, Iron",No,Yes,Yes
Pulao,Uttarakhand,Veg,None,300,40,10.0,8,4,350,"Vitamin B, C",No,Yes,Yes
Aloo Ghatta,Uttarakhand,Veg,None,270,35,10.0,12,3,320,"Vitamin A, C",No,Yes,Yes
Pahadi Samosa,Uttarakhand,Veg,None,250,30,12.0,10,4,350,"Vitamin A, C",No,Yes,Yes
Kumaoni Pulao,Uttarakhand,Veg,None,350,50,15.0,20,5,400,"Vitamin B, C",No,Yes,Yes
Chana Chaat,Uttarakhand,Veg,None,200,30,6.0,8,3,250,"Vitamin B, C",No,Yes,Yes
Gahat Ki Khichdi,Uttarakhand,Veg,None,300,40,10.0,15,4,350,"Vitamin B, C",No,Yes,Yes
Jhangora Pulao,Uttarakhand,Veg,None,320,45,12.0,18,5,400,"Vitamin B, C",No,Yes,Yes
Kandali Saag,Uttarakhand,Veg,None,220,30,8.0,10,4,300,"Vitamin A, C",No,Yes,Yes
Garhwal Saag,Uttarakhand,Veg,None,200,25,6.0,8,3,250,"Vitamin A, C",No,Yes,Yes
Bhatt Ki Dal,Uttarakhand,Veg,None,280,40,12.0,10,5,300,"Vitamin B, Iron",No,Yes,Yes
Aloo Tamatar Curry,Uttarakhand,Veg,None,250,30,8.0,12,4,320,"Vitamin A, C",No,Yes,Yes
Methi Thepla,Uttarakhand,Veg,None,300,40,10.0,12,5,350,"Vitamin B, C",No,Yes,Yes
Chaaula,Uttarakhand,Veg,None,250,35,10.0,12,4,300,"Vitamin A, C",No,Yes,Yes
Pindi Chana,Uttarakhand,Veg,None,300,40,12.0,15,5,350,"Vitamin B, Iron",No,Yes,Yes
Daal Bhat,Uttarakhand,Veg,None,350,50,15.0,20,6,400,"Vitamin B, C",No,Yes,Yes
Sooji Halwa,Uttarakhand,Veg,Dairy,400,50,20.0,25,10,250,"Vitamin A, B12",No,Yes,Yes
Methi Thepla,Uttarakhand,Veg,None,300,40,12.0,14,5,350,"Vitamin B, C",No,Yes,Yes
Kumaoni Chutney,Uttarakhand,Veg,None,100,10,4.0,6,2,150,"Vitamin A, C",No,Yes,Yes
Jhangora Kheer,Uttarakhand,Veg,Dairy,350,50,15.0,20,5,300,"Vitamin A, B12",No,Yes,Yes
Pahadi Rajma,Uttarakhand,Veg,None,300,45,12.0,10,4,350,"Vitamin B, C",No,Yes,Yes
Bedu Ki Roti,Uttarakhand,Veg,None,280,45,8.0,6,3,300,"Vitamin B, C",No,Yes,Yes
Aloo Baingan,Uttarakhand,Veg,None,250,35,8.0,10,4,300,"Vitamin A, C",No,Yes,Yes
Kachori,Uttarakhand,Veg,None,300,40,15.0,12,5,350,"Vitamin B, C",Yes,No,No
Singori,Uttarakhand,Veg,Dairy,200,25,8.0,10,4,150,"Vitamin A, B12",No,Yes,Yes
Chana Masala,Uttarakhand,Veg,None,300,40,10.0,15,6,350,"Vitamin B, Iron",No,Yes,Yes
Kandali Saag,Uttarakhand,Veg,None,200,25,5.0,8,4,250,"Vitamin A, C",No,Yes,Yes
Aloo Keema,Uttar Pradesh,Non-Veg,None,350,20,20.0,15,5,800,"Vitamin B12, Iron",No,Yes,Yes
Puri Aloo,Uttar Pradesh,Veg,Gluten,400,50,18.0,8,6,600,"Vitamin A, C",Yes,No,No
Chole Bhature,Uttar Pradesh,Veg,Gluten,600,80,25.0,12,8,700,"Vitamin C, Iron",No,Yes,Yes
Tandoori Chicken,Uttar Pradesh,Non-Veg,None,400,10,25.0,30,2,900,"Vitamin B6, Iron",No,Yes,Yes
Paneer Tikka,Uttar Pradesh,Veg,Dairy,300,12,20.0,15,3,500,"Vitamin B12, Calcium",No,Yes,Yes
Dal Makhani,Uttar Pradesh,Veg,Dairy,350,40,15.0,12,7,650,"Vitamin B9, Iron",No,Yes,Yes
Kachori,Uttar Pradesh,Veg,Gluten,450,60,22.0,10,5,700,"Vitamin B1, B2",Yes,No,No
Raita,Uttar Pradesh,Veg,Dairy,150,8,8.0,5,3,250,"Vitamin A, D",No,Yes,Yes
Kofta Curry,Uttar Pradesh,Veg,Dairy,400,30,25.0,12,6,800,"Vitamin B6, Calcium",No,Yes,Yes
Aloo Chaat,Uttar Pradesh,Veg,None,250,35,10.0,5,7,300,"Vitamin C, B6",No,Yes,Yes
Biryani,Uttar Pradesh,Non-Veg,None,500,60,20.0,25,8,900,"Vitamin B6, Iron",No,Yes,Yes
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,45,15.0,10,4,600,"Vitamin A, C",No,Yes,Yes
Pulao,Uttar Pradesh,Veg,None,300,50,12.0,8,3,550,"Vitamin B6, Iron",No,Yes,Yes
Samosa,Uttar Pradesh,Veg,Gluten,400,50,20.0,8,4,700,"Vitamin B1, C",No,Yes,Yes
Rogan Josh,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,5,800,"Vitamin B12, Iron",No,Yes,Yes
Bhindi Masala,Uttar Pradesh,Veg,None,200,20,10.0,5,2,400,"Vitamin C, A",No,Yes,Yes
Palak Paneer,Uttar Pradesh,Veg,Dairy,350,20,22.0,15,4,600,"Vitamin A, C, Iron",No,Yes,Yes
Aloo Paratha,Uttar Pradesh,Veg,Gluten,400,50,15.0,8,6,700,"Vitamin B1, C",Yes,No,No
Kheer,Uttar Pradesh,Veg,Dairy,300,40,10.0,15,20,400,"Vitamin B12, Calcium",No,Yes,Yes
Jalebi,Uttar Pradesh,Veg,Gluten,350,70,15.0,20,35,500,Vitamin C,No,Yes,Yes
Mathri,Uttar Pradesh,Veg,Gluten,450,60,22.0,10,5,700,"Vitamin B1, Iron",No,Yes,Yes
Baida Roti,Uttar Pradesh,Non-Veg,Gluten,500,55,25.0,20,7,800,"Vitamin B12, Iron",No,Yes,Yes
Petha,Uttar Pradesh,Veg,None,200,50,0.0,5,10,300,Vitamin C,No,Yes,Yes
Mutton Korma,Uttar Pradesh,Non-Veg,None,600,10,40.0,35,5,900,"Vitamin B12, Iron",No,Yes,Yes
Tikki Chaat,Uttar Pradesh,Veg,Gluten,350,45,15.0,10,8,600,"Vitamin B6, C",No,Yes,Yes
Chana Masala,Uttar Pradesh,Veg,None,400,45,12.0,15,5,650,"Vitamin B9, Iron",No,Yes,Yes
Gulab Jamun,Uttar Pradesh,Veg,Dairy,300,60,15.0,10,35,400,Vitamin B12,No,Yes,Yes
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,60,20.0,15,6,700,"Vitamin B1, C",Yes,Yes,Yes
Chicken Kebab,Uttar Pradesh,Non-Veg,None,400,5,25.0,30,3,850,"Vitamin B12, Iron",No,Yes,Yes
Rasam,Uttar Pradesh,Veg,None,150,15,5.0,2,3,200,Vitamin C,No,Yes,Yes
Dal Tadka,Uttar Pradesh,Veg,None,300,40,10.0,15,4,500,"Vitamin B9, Iron",No,Yes,Yes
Kofta Biryani,Uttar Pradesh,Veg,Dairy,550,50,25.0,15,6,800,"Vitamin B12, Calcium",No,Yes,Yes
Murg Malai Tikka,Uttar Pradesh,Non-Veg,Dairy,450,10,30.0,25,2,900,"Vitamin B12, Iron",No,Yes,Yes
Jeera Rice,Uttar Pradesh,Veg,None,250,55,8.0,4,2,300,Vitamin B6,No,Yes,Yes
Dahi Bhalla,Uttar Pradesh,Veg,Dairy,350,50,15.0,12,8,500,"Vitamin B12, Calcium",No,Yes,Yes
Mutton Seekh Kebab,Uttar Pradesh,Non-Veg,None,500,8,30.0,30,3,900,"Vitamin B12, Iron",No,Yes,Yes
Chole,Uttar Pradesh,Veg,None,400,45,10.0,15,5,650,"Vitamin B9, Iron",No,Yes,Yes
Methi Paratha,Uttar Pradesh,Veg,Gluten,350,45,12.0,10,4,600,"Vitamin A, C",Yes,No,No
Khasta Kachori,Uttar Pradesh,Veg,Gluten,450,60,22.0,12,5,700,"Vitamin B1, Iron",Yes,No,No
Dum Aloo,Uttar Pradesh,Veg,None,300,35,15.0,8,6,500,"Vitamin C, B6",No,Yes,Yes
Shahi Paneer,Uttar Pradesh,Veg,Dairy,400,25,20.0,15,5,700,"Vitamin B12, Calcium",No,Yes,Yes
Samosa Chaat,Uttar Pradesh,Veg,Gluten,400,55,20.0,10,8,650,"Vitamin B1, C",No,Yes,Yes
Chicken Curry,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,6,800,"Vitamin B12, Iron",No,Yes,Yes
Bundi Raita,Uttar Pradesh,Veg,Dairy,200,12,8.0,6,4,300,"Vitamin A, D",No,Yes,Yes
Paneer Butter Masala,Uttar Pradesh,Veg,Dairy,450,20,25.0,15,8,700,"Vitamin B12, Calcium",No,Yes,Yes
Kachori Aloo,Uttar Pradesh,Veg,Gluten,500,60,22.0,10,6,750,"Vitamin B1, Iron",Yes,No,No
Bhindi Do Pyaza,Uttar Pradesh,Veg,None,200,20,10.0,5,4,400,"Vitamin C, A",No,Yes,Yes
Litti Chokha,Uttar Pradesh,Veg,Gluten,450,60,15.0,12,5,700,"Vitamin B1, C",No,Yes,Yes
Tandoori Paneer,Uttar Pradesh,Veg,Dairy,300,12,20.0,15,3,500,"Vitamin B12, Calcium",No,Yes,Yes
Mutton Nihari,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,5,900,"Vitamin B12, Iron",No,Yes,Yes
Samosa Pav,Uttar Pradesh,Veg,Gluten,500,60,20.0,10,7,750,"Vitamin B1, C",No,Yes,Yes
Chicken Biryani,Uttar Pradesh,Non-Veg,None,550,65,25.0,30,8,900,"Vitamin B6, Iron",No,Yes,Yes
Vegetable Pulao,Uttar Pradesh,Veg,None,350,55,10.0,8,4,600,"Vitamin B6, C",No,Yes,Yes
Chole Pulao,Uttar Pradesh,Veg,None,400,60,12.0,15,5,650,"Vitamin B9, Iron",No,Yes,Yes
Masoor Dal,Uttar Pradesh,Veg,None,300,40,10.0,15,4,500,"Vitamin B9, Iron",No,Yes,Yes
Bhindi Fry,Uttar Pradesh,Veg,None,200,25,10.0,5,3,400,"Vitamin C, A",No,Yes,Yes
Rawa Kesari,Uttar Pradesh,Veg,None,350,60,12.0,15,25,500,Vitamin B12,No,Yes,Yes
Vegetable Korma,Uttar Pradesh,Veg,Dairy,400,30,20.0,15,6,700,"Vitamin B6, Calcium",No,Yes,Yes
Mutton Pulao,Uttar Pradesh,Non-Veg,None,500,60,20.0,25,8,900,"Vitamin B6, Iron",No,Yes,Yes
Tandoori Roti,Uttar Pradesh,Veg,Gluten,250,50,5.0,6,3,400,"Vitamin B1, C",No,Yes,Yes
Paneer Pakora,Uttar Pradesh,Veg,Dairy,350,25,20.0,12,5,600,"Vitamin B12, Calcium",No,Yes,Yes
Aloo Tamatar,Uttar Pradesh,Veg,None,250,30,8.0,5,7,400,"Vitamin C, B6",No,Yes,Yes
Chicken Shawarma,Uttar Pradesh,Non-Veg,None,500,20,30.0,25,4,850,"Vitamin B12, Iron",No,Yes,Yes
Methi Malai Chicken,Uttar Pradesh,Non-Veg,Dairy,450,15,25.0,30,5,900,"Vitamin B12, Iron",No,Yes,Yes
Vegetable Cutlet,Uttar Pradesh,Veg,Gluten,300,35,12.0,8,6,500,"Vitamin C, B6",No,Yes,Yes
Paneer Korma,Uttar Pradesh,Veg,Dairy,400,20,22.0,15,6,700,"Vitamin B12, Calcium",No,Yes,Yes
Roti,Uttar Pradesh,Veg,Gluten,150,30,3.0,4,2,250,Vitamin B1,No,Yes,Yes
Chole Tikki,Uttar Pradesh,Veg,Gluten,350,45,15.0,10,7,600,"Vitamin B6, C",No,Yes,Yes
Vegetable Biryani,Uttar Pradesh,Veg,None,400,60,15.0,10,5,650,"Vitamin B6, C",No,Yes,Yes
Palak Chole,Uttar Pradesh,Veg,None,350,35,10.0,15,5,600,"Vitamin A, C",No,Yes,Yes
Murg Pulao,Uttar Pradesh,Non-Veg,None,550,65,25.0,30,8,900,"Vitamin B6, Iron",No,Yes,Yes
Khichdi,Uttar Pradesh,Veg,None,300,50,8.0,10,5,500,"Vitamin B6, Iron",No,Yes,Yes
Kachori Chaat,Uttar Pradesh,Veg,Gluten,450,60,22.0,12,7,700,"Vitamin B1, C",Yes,No,No
Methi Chicken,Uttar Pradesh,Non-Veg,None,400,15,30.0,25,5,800,"Vitamin B12, Iron",No,Yes,Yes
Paneer Burji,Uttar Pradesh,Veg,Dairy,350,15,20.0,25,4,600,"Vitamin B12, Calcium",No,Yes,Yes
Vegetable Curry,Uttar Pradesh,Veg,None,300,35,15.0,8,4,500,"Vitamin C, A",No,Yes,Yes
Chicken Saag,Uttar Pradesh,Non-Veg,None,500,10,35.0,30,5,900,"Vitamin B12, Iron",No,Yes,Yes
Gatte Ki Sabzi,Uttar Pradesh,Veg,Gluten,400,30,20.0,12,5,700,"Vitamin B6, C",No,Yes,Yes
Mutton Tikka,Uttar Pradesh,Non-Veg,None,500,12,30.0,35,4,850,"Vitamin B12, Iron",No,Yes,Yes
Vegetable Dosa,Uttar Pradesh,Veg,Gluten,350,50,15.0,10,4,600,"Vitamin B6, C",Yes,No,Yes
Bhindi Raita,Uttar Pradesh,Veg,Dairy,200,15,8.0,6,3,300,"Vitamin A, D",No,Yes,Yes
Aloo Gobi,Uttar Pradesh,Veg,None,250,30,10.0,8,6,450,"Vitamin C, A",No,Yes,Yes
Chicken Pulao,Uttar Pradesh,Non-Veg,None,550,65,25.0,30,7,900,"Vitamin B6, Iron",No,Yes,Yes
Vegetable Soup,Uttar Pradesh,Veg,None,150,20,5.0,3,2,250,"Vitamin A, C",No,Yes,Yes
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,50,10.0,15,25,500,"Vitamin A, B12",No,Yes,Yes
Kashmiri Dum Aloo,Uttar Pradesh,Veg,None,400,40,15.0,8,7,600,"Vitamin C, B6",No,Yes,Yes
Prawn Masala,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,5,850,"Vitamin B12, Iron",No,Yes,Yes
Dahi Puri,Uttar Pradesh,Veg,Dairy,250,30,10.0,6,5,400,"Vitamin A, D",Yes,No,No
Aloo Methi,Uttar Pradesh,Veg,None,250,30,8.0,5,6,450,"Vitamin C, A",No,Yes,Yes
Mutton Curry,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,6,900,"Vitamin B12, Iron",No,Yes,Yes
Vegetable Idli,Uttar Pradesh,Veg,None,250,30,5.0,6,3,350,"Vitamin B1, C",Yes,No,Yes
Chana Chaat,Uttar Pradesh,Veg,None,300,40,10.0,12,6,500,"Vitamin B6, C",No,Yes,Yes
Methi Malai Paneer,Uttar Pradesh,Veg,Dairy,400,20,22.0,15,6,700,"Vitamin B12, Calcium",No,Yes,Yes
Rawa Upma,Uttar Pradesh,Veg,Gluten,300,50,10.0,8,4,550,"Vitamin B6, C",Yes,No,No
Chicken Pakora,Uttar Pradesh,Non-Veg,None,400,10,25.0,30,3,800,"Vitamin B12, Iron",No,Yes,Yes
Vegetable Biryani,Uttar Pradesh,Veg,None,400,55,12.0,10,5,600,"Vitamin B6, C",No,Yes,Yes
Kachori,Uttar Pradesh,Veg,Gluten,450,60,22.0,10,5,700,"Vitamin B1, Iron",Yes,No,No
Mutton Rogan Josh,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,6,900,"Vitamin B12, Iron",No,Yes,Yes
Palak Dal,Uttar Pradesh,Veg,None,300,40,10.0,12,4,500,"Vitamin B9, Iron",No,Yes,Yes
Paneer Tikka Masala,Uttar Pradesh,Veg,Dairy,400,25,20.0,15,7,700,"Vitamin B12, Calcium",No,Yes,Yes
Tandoori Naan,Uttar Pradesh,Veg,Gluten,300,60,5.0,7,4,500,Vitamin B1,No,Yes,Yes
Aloo Palak,Uttar Pradesh,Veg,None,250,30,12.0,6,5,450,"Vitamin C, A",No,Yes,Yes
Chicken Tikka Masala,Uttar Pradesh,Non-Veg,Dairy,500,20,30.0,35,6,900,"Vitamin B12, Iron",No,Yes,Yes
Vegetable Pakora,Uttar Pradesh,Veg,Gluten,350,30,20.0,15,5,600,"Vitamin B6, C",No,Yes,Yes
Dal Chawal,Uttar Pradesh,Veg,None,350,55,8.0,15,5,600,"Vitamin B6, Iron",No,Yes,Yes
Vegetable Kofta,Uttar Pradesh,Veg,Dairy,400,30,20.0,15,6,700,"Vitamin B12, Calcium",No,Yes,Yes
Gajar Halwa,Uttar Pradesh,Veg,Dairy,350,50,12.0,15,25,500,"Vitamin A, B12",No,Yes,Yes
Paneer Lababdar,Uttar Pradesh,Veg,Dairy,450,20,25.0,15,6,700,"Vitamin B12, Calcium",No,Yes,Yes
Mutton Shami Kebab,Uttar Pradesh,Non-Veg,None,500,12,30.0,25,5,850,"Vitamin B12, Iron",No,Yes,Yes
Aloo Jeera,Uttar Pradesh,Veg,None,250,30,8.0,5,4,450,"Vitamin C, A",No,Yes,Yes
Chicken Vindaloo,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,5,900,"Vitamin B12, Iron",No,Yes,Yes
Rajma,Uttar Pradesh,Veg,None,350,45,10.0,15,5,650,"Vitamin B9, Iron",No,Yes,Yes
Chicken Korma,Uttar Pradesh,Non-Veg,Dairy,500,15,30.0,25,4,850,"Vitamin B12, Iron",No,Yes,Yes
Kachori Sabzi,Uttar Pradesh,Veg,Gluten,500,60,20.0,15,6,750,"Vitamin B1, C",Yes,Yes,Yes
Mutton Biryani,Uttar Pradesh,Non-Veg,None,500,60,20.0,25,8,900,"Vitamin B6, Iron",No,Yes,Yes
Chicken Tikka,Uttar Pradesh,Non-Veg,None,400,15,25.0,30,5,800,"Vitamin B12, Iron",No,Yes,Yes
Methi Thepla,Uttar Pradesh,Veg,Gluten,350,50,10.0,8,4,600,"Vitamin A, C",No,Yes,Yes
Vegetable Jalfrezi,Uttar Pradesh,Veg,None,300,35,10.0,10,5,500,"Vitamin A, C",No,Yes,Yes
Dal Tadka,Uttar Pradesh,Veg,None,350,45,10.0,15,4,600,"Vitamin B9, Iron",No,Yes,Yes
Aloo Baingan,Uttar Pradesh,Veg,None,300,35,10.0,8,6,500,"Vitamin C, A",No,Yes,Yes
Rajma Chawal,Uttar Pradesh,Veg,None,350,50,8.0,15,6,600,"Vitamin B6, Iron",No,Yes,Yes
Chicken Curry,Uttar Pradesh,Non-Veg,None,600,15,35.0,40,5,900,"Vitamin B12, Iron",No,Yes,Yes
Chicken Seekh Kebab,Uttar Pradesh,Non-Veg,None,400,20,30.0,25,5,800,"Vitamin B12, Iron",No,Yes,Yes
Mutton Tikka Masala,Uttar Pradesh,Non-Veg,None,500,15,30.0,35,5,850,"Vitamin B12, Iron",No,Yes,Yes
